"feat","avg(vad_eb.V)","avg(vad_eb.A)","avg(vad_eb.D)","avg(vad_eb.V > 3)","avg(vad_eb.A > 3)","avg(vad_eb.D > 3)"
"hospitals","2.850000","3.125000","2.900000","0.5000","0.5000","0.2500"
"host","3.276667","3.085556","3.172222","0.7778","0.7778","0.8889"
"host's","2.900000","3.000000","2.900000","0.0000","0.0000","0.0000"
"hostage","3.500000","3.400000","3.300000","1.0000","1.0000","1.0000"
"hosted","3.300000","3.000000","3.200000","1.0000","0.0000","1.0000"
"hostess","2.675000","2.875000","2.875000","0.0000","0.0000","0.0000"
"hostile","2.700000","3.100000","3.100000","0.0000","1.0000","1.0000"
"hosting","3.250000","3.000000","3.000000","1.0000","0.0000","0.0000"
"hosts","3.140000","3.140000","3.140000","1.0000","1.0000","1.0000"
"hot","3.066154","3.046923","3.032308","0.3077","0.5385","0.4615"
"hot-and-sour","3.000000","3.000000","3.000000","0.0000","0.0000","0.0000"
"hotel","3.136316","2.987368","3.115263","0.5789","0.3158","0.5789"
"hotels","3.112500","2.960000","3.073125","0.8125","0.3125","0.5000"
"hottest","2.900000","2.800000","3.100000","0.0000","0.0000","1.0000"
"hour","2.816316","3.047895","2.965263","0.2105","0.4737","0.2632"
"hours","2.922500","2.976250","3.080625","0.3438","0.3750","0.6250"
"housatonic","3.400000","2.600000","3.000000","1.0000","0.0000","0.0000"
"house","3.026981","3.066604","3.040000","0.4151","0.5094","0.4340"
"house's","2.700000","3.100000","3.000000","0.0000","1.0000","0.0000"
"house-sized","2.700000","3.100000","3.000000","0.0000","1.0000","0.0000"
"houseboats","3.000000","2.640000","3.000000","0.0000","0.0000","0.0000"
"household","3.220000","3.220000","3.560000","1.0000","1.0000","1.0000"
"housemates","3.200000","3.000000","3.000000","1.0000","0.0000","0.0000"
"houses","2.900870","3.123043","3.031304","0.4783","0.6957","0.4348"
"housewife","3.000000","2.950000","3.046667","0.0000","0.3333","0.3333"
"housewives","2.900000","3.150000","3.000000","0.5000","1.0000","0.5000"
"housing","2.806667","2.793333","2.975556","0.2222","0.1111","0.4444"
"houston","2.690000","3.065000","3.000000","0.0000","0.5000","0.5000"
"hovel","2.220000","3.560000","3.670000","0.0000","1.0000","1.0000"
"how","2.918547","3.067326","3.054070","0.2907","0.4826","0.5058"
"how's","2.930000","2.785000","3.000000","0.0000","0.0000","0.0000"
"howard","2.735000","3.262500","3.177500","0.0000","0.7500","0.5000"
"howell","3.140000","3.280000","3.140000","1.0000","1.0000","1.0000"
"however","2.972364","2.996364","3.079636","0.2727","0.3818","0.4727"
"howl","2.600000","3.500000","2.400000","0.0000","1.0000","0.0000"
"hoya","2.900000","3.100000","2.900000","0.0000","1.0000","0.0000"
"hpv","2.833333","3.166667","2.933333","0.0000","1.0000","0.3333"
"hsus","3.230000","3.120000","3.158000","0.8000","0.6000","0.6000"
"hsü","3.100000","3.200000","2.900000","1.0000","1.0000","0.0000"
"htm","3.000000","3.140000","3.290000","0.0000","1.0000","1.0000"
"html","2.950000","2.750000","3.000000","0.5000","0.0000","0.5000"
"http://blog.sophianetwork.org","3.000000","3.140000","3.290000","0.0000","1.0000","1.0000"
"http://cgi.ebay.com","3.000000","2.800000","3.000000","0.0000","0.0000","0.0000"
"http://creativecommons.org","3.000000","2.700000","3.000000","0.0000","0.0000","0.0000"
"http://dictionary.oed.com","3.000000","2.800000","2.900000","0.0000","0.0000","0.0000"
"http://news.bbc.co","2.800000","3.000000","3.100000","0.0000","0.0000","1.0000"
"http://www.facts-about-wine.info","3.200000","2.900000","3.200000","1.0000","0.0000","1.0000"
"http://www.hr5034.org","2.970000","2.793333","3.000000","0.0000","0.0000","0.0000"
"http://www.hr5034.org/","3.000000","2.900000","3.000000","0.0000","0.0000","0.0000"
"http://www.law.com","3.000000","2.700000","3.100000","0.0000","0.0000","1.0000"
"http://www.newint.org","3.000000","2.780000","2.890000","0.0000","0.0000","0.0000"
"http://www.nytimes.com","3.000000","2.820000","3.000000","0.0000","0.0000","0.0000"
"http://www.stophr5034.org","3.100000","2.900000","3.000000","1.0000","0.0000","0.0000"
"http://www.treehugger.com","3.100000","2.900000","3.000000","1.0000","0.0000","0.0000"
"huaisheng","3.000000","2.900000","3.100000","0.0000","0.0000","1.0000"
"hub","3.360000","2.910000","3.180000","1.0000","0.0000","1.0000"
"hubble","2.700000","3.100000","2.900000","0.0000","1.0000","0.0000"
"hubris","2.630000","3.130000","3.030000","0.0000","0.5000","0.5000"
"hudson","3.000000","2.800000","3.000000","0.0000","0.0000","0.0000"
"hues","3.100000","3.000000","3.300000","1.0000","0.0000","1.0000"
"huffing","2.900000","3.100000","3.400000","0.0000","1.0000","1.0000"
"hug","3.050000","3.150000","3.050000","0.5000","1.0000","0.5000"
"huge","2.823571","3.092143","3.045714","0.2857","0.5714","0.6429"
"hugged","3.890000","3.440000","3.330000","1.0000","1.0000","1.0000"
"hugging","3.300000","3.000000","3.000000","1.0000","0.0000","0.0000"
"hughes","3.001429","3.064286","3.064286","0.2857","0.4286","0.5714"
"hugo","2.973333","3.026667","3.033333","0.3333","0.3333","0.3333"
"huh","2.975000","3.040000","3.175000","0.5000","0.5000","1.0000"
"hum","2.710000","2.860000","2.860000","0.0000","0.0000","0.0000"
"human","2.910000","2.973922","3.031765","0.3137","0.3333","0.3922"
"humane","2.828571","3.114286","3.120000","0.4286","0.4286","0.7143"
"humanica","2.860000","3.140000","2.860000","0.0000","1.0000","0.0000"
"humanidad","3.140000","2.860000","3.000000","1.0000","0.0000","0.0000"
"humanitarian","2.890000","3.008750","3.131250","0.1250","0.3750","0.6250"
"humanities","2.500000","3.400000","3.400000","0.0000","1.0000","1.0000"
"humanity","2.875000","3.075000","3.025000","0.2500","0.5000","0.5000"
"humankind","2.130000","3.130000","2.750000","0.0000","1.0000","0.0000"
"humanoid","3.050000","3.000000","3.050000","0.5000","0.0000","0.5000"
"humans","2.886667","2.980000","3.086667","0.3333","0.3333","0.5000"
"humbles","2.600000","3.200000","3.000000","0.0000","1.0000","0.0000"
"humbug","2.900000","2.900000","3.200000","0.0000","0.0000","1.0000"
"humidity","3.000000","3.000000","3.000000","0.0000","0.0000","0.0000"
"humor","2.600000","3.350000","3.050000","0.5000","1.0000","0.5000"
"humpback","3.250000","3.500000","3.120000","1.0000","1.0000","1.0000"
"humpty","3.000000","2.500000","3.250000","0.0000","0.0000","1.0000"
"hunch","3.200000","3.150000","3.050000","1.0000","1.0000","0.5000"
"hunchback","2.978000","2.792000","2.992000","0.2000","0.0000","0.4000"
"hunchbacked","2.775000","2.950000","3.150000","0.0000","0.0000","0.5000"
"hundred","3.111538","3.030000","3.076923","0.6154","0.5385","0.3846"
"hundreds","2.888824","3.035882","2.995882","0.2941","0.4118","0.2941"
"hung","2.829000","2.918000","2.955000","0.3000","0.4000","0.2000"
"hungarian","2.560000","3.000000","3.000000","0.0000","0.0000","0.0000"
"hungary","2.400000","3.500000","3.200000","0.0000","1.0000","0.5000"
"hunger","3.200000","3.500000","3.300000","1.0000","1.0000","1.0000"
"hungry","3.076667","3.080000","3.038333","0.3333","0.3333","0.3333"
"hunt","2.690000","3.178333","3.016667","0.1667","0.6667","0.3333"
"hunter","2.100000","3.400000","2.600000","0.0000","1.0000","0.0000"
"hunter-gatherer","3.000000","2.500000","2.880000","0.0000","0.0000","0.0000"
"hunters","2.945000","3.055000","3.055000","0.0000","0.5000","0.5000"
"hunting","2.843750","3.141250","3.027500","0.2500","0.6250","0.6250"
"hurled","2.500000","3.500000","3.100000","0.0000","1.0000","1.0000"
"hurricane","2.898571","3.081429","2.972857","0.4286","0.4286","0.4286"
"hurricanes","2.300000","3.400000","3.100000","0.0000","1.0000","1.0000"
"hurried","3.100000","2.900000","3.200000","1.0000","0.0000","1.0000"
"hurriedly","3.000000","3.170000","3.330000","0.0000","1.0000","1.0000"
"hurry","2.873333","3.500000","3.260000","0.3333","1.0000","1.0000"
"hurt","2.700000","3.086667","2.948333","0.0833","0.5833","0.4167"
"hurting","2.400000","3.100000","2.700000","0.0000","1.0000","0.0000"
"hurts","2.100000","3.300000","2.900000","0.0000","1.0000","0.3333"
"husband","2.794286","2.927143","2.984286","0.0000","0.2857","0.1429"
"husband's","2.800000","3.000000","3.000000","0.0000","0.0000","0.0000"
"husbands","3.200000","3.400000","3.100000","1.0000","1.0000","1.0000"
"hush","2.000000","3.800000","3.200000","0.0000","1.0000","1.0000"
"hussein","2.725000","3.025000","3.000000","0.2500","0.7500","0.5000"
"hussein's","2.500000","3.200000","2.700000","0.0000","1.0000","0.0000"
"hut","3.033333","3.033333","3.000000","0.3333","0.6667","0.3333"
"huts","3.293333","2.996667","3.270000","1.0000","0.3333","1.0000"
"hvac","3.400000","3.100000","3.300000","1.0000","1.0000","1.0000"
"hyatt","3.250000","3.000000","3.000000","1.0000","0.0000","0.0000"
"hybrid","3.000000","3.200000","3.000000","0.0000","1.0000","0.0000"
"hydrocarbon","3.000000","2.916667","3.040000","0.0000","0.0000","0.3333"
"hydrocarbons","3.032500","2.846250","3.055000","0.3750","0.0000","0.5000"
"hydroponic","3.440000","3.000000","3.000000","1.0000","0.0000","0.0000"
"hydroponics","3.000000","2.900000","3.000000","0.0000","0.0000","0.0000"
"hype","2.750000","2.880000","3.000000","0.0000","0.0000","0.0000"
"hyped","3.000000","3.290000","3.290000","0.0000","1.0000","1.0000"
"hyperbole","2.900000","3.000000","2.700000","0.0000","0.0000","0.0000"
"hypocrisy","2.000000","3.250000","2.620000","0.0000","1.0000","0.0000"
"hypothesis","3.012500","2.997500","3.085000","0.2500","0.2500","0.5000"
"hypothesized","3.100000","3.150000","3.145000","0.5000","0.5000","1.0000"
"hysterectomy","2.800000","3.000000","3.000000","0.0000","0.0000","0.0000"
"hysteria","2.200000","3.500000","3.300000","0.0000","1.0000","1.0000"
"hysterical","2.360000","3.180000","3.180000","0.0000","1.0000","1.0000"
"i","2.949760","3.110873","3.079853","0.3601","0.5464","0.5471"
"i'd","2.919630","3.096667","3.073704","0.3704","0.4444","0.6296"
"i'll","2.891667","3.246667","3.308889","0.3889","0.6111","0.7778"
"i'm","2.956133","3.141067","3.085600","0.3600","0.5600","0.6267"
"i've","2.997931","3.188966","3.121379","0.5862","0.7586","0.6552"
"i-95","2.380000","3.000000","2.880000","0.0000","0.0000","0.0000"
"i-aa","3.220000","2.890000","3.220000","1.0000","0.0000","1.0000"
"i-vi-v","3.000000","3.000000","3.000000","0.0000","0.0000","0.0000"
"iam","3.400000","3.100000","3.000000","1.0000","1.0000","0.0000"
"iberian","3.500000","3.250000","3.250000","1.0000","1.0000","1.0000"
"ibf","2.900000","2.800000","2.900000","0.0000","0.0000","0.0000"
"ibid","3.300000","3.000000","3.150000","0.5000","0.5000","1.0000"
"ibm","3.021429","3.190000","3.125714","0.2857","0.7143","0.4286"
"ibm's","3.100000","2.900000","3.175000","0.7500","0.2500","0.7500"
"ibrahim","2.675000","3.075000","2.950000","0.0000","0.5000","0.2500"
"ibrahim's","2.800000","3.200000","3.100000","0.0000","0.5000","0.5000"
"icbms","2.600000","3.100000","2.800000","0.0000","1.0000","0.0000"
"ice","2.845417","3.042917","2.977083","0.2917","0.3750","0.2917"
"iceland","2.750000","2.620000","2.630000","0.0000","0.0000","0.0000"
"icfundrzr","3.000000","2.600000","3.200000","0.0000","0.0000","1.0000"
"icon","3.300000","3.150000","3.000000","1.0000","1.0000","0.0000"
"icy","2.513333","3.226667","2.863333","0.3333","0.3333","0.3333"
"id","3.000000","2.700000","3.100000","0.0000","0.0000","1.0000"
"idaho","3.180000","3.165000","3.505000","1.0000","0.5000","1.0000"
"idea","3.001154","3.119615","3.084615","0.5385","0.6154","0.4231"
"ideal","2.995000","2.866250","3.065000","0.5000","0.1250","0.6250"
"ideally","3.100000","3.000000","3.100000","1.0000","0.0000","1.0000"
"ideals","2.990000","3.000000","3.050000","0.5000","0.0000","0.5000"
"ideas","2.991538","3.003077","3.168462","0.3846","0.4615","0.7692"
"identical","3.000000","2.926667","3.046667","0.0000","0.0000","0.3333"
"identification","3.020000","2.820000","2.940000","0.2000","0.2000","0.2000"
"identified","3.046250","2.993750","3.175000","0.3750","0.3750","0.6250"
"identifies","3.000000","2.900000","3.290000","0.0000","0.0000","1.0000"
"identify","3.066923","3.029231","3.083077","0.3846","0.5385","0.6154"
"identifying","3.000000","2.800000","3.200000","0.0000","0.0000","1.0000"
"identitarian","2.910000","2.730000","2.630000","0.0000","0.0000","0.0000"
"identities","3.150000","2.900000","3.100000","0.5000","0.0000","0.5000"
"identity","2.993600","2.947600","3.077200","0.3600","0.2000","0.6400"
"ideology","2.900000","2.800000","3.200000","0.0000","0.0000","1.0000"
"idf","2.700000","3.120000","3.115000","0.0000","1.0000","1.0000"
"idiot","1.880000","3.380000","4.000000","0.0000","1.0000","1.0000"
"idiotic","2.780000","3.330000","3.165000","0.0000","1.0000","1.0000"
"idiots","2.220000","3.440000","3.440000","0.0000","1.0000","1.0000"
"idle","3.100000","2.700000","3.100000","1.0000","0.0000","1.0000"
"idling","3.000000","2.900000","3.100000","0.0000","0.0000","1.0000"
"idol","3.400000","3.350000","3.250000","1.0000","1.0000","1.0000"
"idyllic","3.500000","3.250000","3.200000","1.0000","1.0000","0.5000"
"ie","2.800000","3.200000","3.200000","0.0000","1.0000","1.0000"
"ieoc","3.000000","3.000000","3.000000","0.0000","0.0000","0.0000"
"if","2.924865","3.090507","3.088378","0.3074","0.5608","0.5946"
"ifaw","3.155000","2.940000","3.070000","0.5000","0.0000","0.5000"
"igloo","2.800000","3.200000","2.900000","0.0000","1.0000","0.0000"
"ignorance","2.440000","2.890000","3.220000","0.0000","0.0000","1.0000"
"ignorant","2.980000","3.095000","3.050000","0.5000","0.5000","0.5000"
"ignore","2.697273","2.994545","3.027273","0.0000","0.3636","0.4545"
"ignored","2.613846","3.036923","3.027692","0.0000","0.3077","0.4615"
"ignores","2.843333","2.993333","3.133333","0.3333","0.3333","0.6667"
"ignoring","2.700000","3.100000","3.000000","0.0000","0.5000","0.5000"
"ii","3.082000","3.019000","3.082000","0.5000","0.5000","0.6000"
"iland","3.000000","2.780000","2.890000","0.0000","0.0000","0.0000"
"ill","2.940000","3.240000","2.980000","0.4000","0.8000","0.2000"
"illegal","2.867500","3.095000","3.050000","0.2500","0.6250","0.5000"
"illegally","2.220000","3.210000","2.895000","0.0000","1.0000","0.0000"
"illegitimate","2.800000","3.100000","3.100000","0.0000","1.0000","1.0000"
"illinois","3.000000","2.900000","3.100000","0.0000","0.0000","1.0000"
"illiteracy","2.895000","3.000000","3.005000","0.0000","0.0000","0.5000"
"illness","2.985714","3.028571","3.042857","0.2857","0.5714","0.5714"
"illnesses","3.440000","3.440000","2.890000","1.0000","1.0000","0.0000"
"illuminated","3.700000","3.600000","3.200000","1.0000","1.0000","1.0000"
"illuminates","3.200000","3.000000","3.100000","1.0000","0.0000","1.0000"
"illuminating","2.900000","3.100000","3.000000","0.0000","1.0000","0.0000"
"illumination","3.000000","2.380000","2.750000","0.0000","0.0000","0.0000"
"illusion","2.733333","3.076667","2.863333","0.0000","0.6667","0.0000"
"illusions","2.750000","3.250000","3.250000","0.0000","1.0000","1.0000"
"illustrated","3.100000","3.000000","3.200000","1.0000","0.0000","1.0000"
"illustrates","3.000000","2.800000","3.000000","0.0000","0.0000","0.0000"
"ily","3.600000","3.200000","3.300000","1.0000","1.0000","1.0000"
"ima's","3.140000","3.000000","3.000000","1.0000","0.0000","0.0000"
"image","3.157500","3.042500","3.075000","0.7500","0.4167","0.5833"
"imagery","2.900000","3.000000","3.000000","0.0000","0.0000","0.0000"
"images","3.225556","3.122222","3.102222","0.6667","0.5556","0.5556"
"imaginable","3.750000","3.630000","3.000000","1.0000","1.0000","0.0000"
"imaginary","2.800000","3.000000","3.400000","0.0000","0.0000","1.0000"
"imagination","2.955000","2.987500","3.062500","0.2500","0.5000","0.2500"
"imaginative","3.440000","3.110000","3.110000","1.0000","1.0000","1.0000"
"imagine","2.835833","3.152500","3.095833","0.2500","0.6667","0.5000"
"imagined","2.900000","2.900000","3.050000","0.0000","0.0000","0.5000"
"imax","3.140000","3.140000","3.000000","1.0000","1.0000","0.0000"
"imbalance","3.000000","3.000000","3.100000","0.0000","0.0000","1.0000"
"imbalances","2.700000","3.000000","2.900000","0.0000","0.0000","0.0000"
"imbibing","3.200000","2.900000","3.100000","1.0000","0.0000","1.0000"
"imdb","3.600000","3.500000","3.400000","1.0000","1.0000","1.0000"
"imho","3.000000","3.400000","3.400000","0.0000","1.0000","1.0000"
"imitating","2.800000","3.200000","3.400000","0.0000","1.0000","1.0000"
"imitation","3.000000","2.833333","3.066667","0.3333","0.3333","0.6667"
"immanent","3.000000","3.250000","3.250000","0.0000","1.0000","1.0000"
"immediate","2.810000","3.176667","3.088333","0.1667","0.8333","0.6667"
"immediately","3.006429","3.096071","3.139643","0.3929","0.3929","0.5000"
"immensely","3.100000","3.100000","3.000000","1.0000","1.0000","0.0000"
"immerse","3.120000","3.130000","3.120000","1.0000","1.0000","1.0000"
"immigrants","3.093333","3.216667","3.156667","0.6667","0.6667","0.6667"
"immigration","2.930000","2.990000","3.000000","0.0000","0.5000","0.0000"
"imminent","2.500000","3.300000","2.900000","0.0000","1.0000","0.0000"
"immoral","3.200000","3.200000","2.900000","1.0000","1.0000","0.0000"
"immortal","2.666667","3.146667","2.966667","0.0000","1.0000","0.0000"
"immortalized","3.400000","3.200000","3.000000","1.0000","1.0000","0.0000"
"impact","2.977333","2.995333","3.065333","0.4667","0.4000","0.4667"
"impacts","3.200000","3.200000","3.400000","1.0000","1.0000","1.0000"
"impaired","3.333333","3.266667","3.133333","1.0000","1.0000","1.0000"
"impaling","2.380000","3.870000","2.750000","0.0000","1.0000","0.0000"
"imparted","2.890000","2.780000","3.110000","0.0000","0.0000","1.0000"
"impasse","3.000000","2.900000","3.200000","0.0000","0.0000","1.0000"
"impatient","2.880000","2.880000","3.250000","0.0000","0.0000","1.0000"
"impeccability","3.000000","3.110000","3.110000","0.0000","1.0000","1.0000"
"impeccable","3.100000","2.900000","3.000000","1.0000","0.0000","0.0000"
"impenetrable","3.000000","2.880000","3.000000","0.0000","0.0000","0.0000"
"imperial","3.200000","3.200000","3.200000","1.0000","1.0000","1.0000"
"imperialism","3.110000","3.220000","3.220000","1.0000","1.0000","1.0000"
"imperiled","2.780000","3.110000","2.890000","0.0000","1.0000","0.0000"
"impertinence","1.880000","4.120000","3.380000","0.0000","1.0000","1.0000"
"impervious","3.000000","2.800000","3.100000","0.0000","0.0000","1.0000"
"implant","3.600000","2.800000","3.100000","1.0000","0.0000","1.0000"
"implement","3.000000","3.000000","3.000000","0.0000","0.0000","0.0000"
"implementation","3.185000","2.875000","3.190000","1.0000","0.0000","0.5000"
"implementations","3.000000","2.800000","3.000000","0.0000","0.0000","0.0000"
"implemented","2.968000","3.042000","3.058000","0.4000","0.4000","0.6000"
"implements","3.000000","3.400000","2.900000","0.0000","1.0000","0.0000"
"implicated","2.645000","3.015000","2.910000","0.0000","0.5000","0.0000"
"implicates","3.000000","2.900000","3.000000","0.0000","0.0000","0.0000"
"implication","2.900000","2.945000","3.095000","0.0000","0.0000","0.5000"
"implications","2.900000","3.200000","3.200000","0.0000","1.0000","1.0000"
"implicit","2.730000","2.910000","3.270000","0.0000","0.0000","1.0000"
"implied","2.710000","3.000000","3.000000","0.0000","0.0000","0.0000"
"implies","2.840000","3.060000","3.285000","0.0000","0.5000","1.0000"
"imply","2.875714","2.938571","3.044286","0.0000","0.1429","0.5714"
"importance","3.042500","2.817500","3.146250","0.3750","0.0000","0.7500"
"important","3.081429","3.079643","3.124464","0.5893","0.5179","0.7500"
"importantly","2.920000","3.094000","3.150000","0.4000","0.6000","0.8000"
"imported","3.040000","3.042000","3.052000","0.4000","0.6000","0.6000"
"importers","2.900000","3.000000","3.200000","0.0000","0.0000","1.0000"
"importing","2.800000","3.100000","3.200000","0.0000","1.0000","1.0000"
"imports","2.878000","2.880000","3.076000","0.0000","0.2000","0.6000"
"importune","3.000000","3.000000","2.830000","0.0000","0.0000","0.0000"
"impose","3.100000","3.100000","3.500000","1.0000","1.0000","1.0000"
"imposed","2.890000","3.000000","2.890000","0.0000","0.0000","0.0000"
"imposes","3.000000","2.630000","3.000000","0.0000","0.0000","0.0000"
"imposing","3.050000","3.335000","2.950000","0.5000","1.0000","0.0000"
"impossible","2.730000","3.085000","2.881667","0.0000","0.5000","0.1667"
"impossibly","3.140000","3.140000","3.140000","1.0000","1.0000","1.0000"
"impoverish","2.900000","2.900000","3.000000","0.0000","0.0000","0.0000"
"impoverished","3.075000","3.070000","3.000000","0.5000","0.5000","0.0000"
"imprecise","3.000000","3.000000","3.000000","0.0000","0.0000","0.0000"
"impressed","3.400000","3.200000","3.300000","1.0000","1.0000","1.0000"
"impression","2.871667","2.980000","3.043333","0.1667","0.3333","0.5000"
"impressive","3.252857","3.014286","3.080000","0.8571","0.5714","0.5714"
"imprisoned","3.000000","2.700000","2.900000","0.0000","0.0000","0.0000"
"imprisonment","2.780000","3.000000","3.000000","0.0000","0.0000","0.0000"
"improper","2.800000","3.300000","2.900000","0.0000","1.0000","0.0000"
"impropriety","2.426667","3.216667","3.183333","0.0000","1.0000","1.0000"
"improve","3.208000","3.027500","3.141000","0.7500","0.4000","0.6500"
"improved","3.183333","2.866667","3.066667","0.8333","0.1667","0.5000"
"improvement","3.270000","3.090000","3.270000","1.0000","1.0000","1.0000"
"improvements","3.200000","2.900000","3.100000","1.0000","0.0000","1.0000"
"improving","3.200000","3.100000","3.150000","0.5000","1.0000","1.0000"
"impulse","2.975000","3.060000","3.460000","0.5000","0.5000","1.0000"
"in","2.975883","3.020754","3.059490","0.3696","0.4130","0.5098"
"in-a-vacuum","3.000000","2.880000","3.000000","0.0000","0.0000","0.0000"
"in-county","2.750000","2.750000","3.120000","0.0000","0.0000","1.0000"
"in-depth","3.055000","2.900000","3.110000","0.5000","0.0000","0.5000"
"in-house","3.120000","2.500000","2.880000","1.0000","0.0000","0.0000"
"in-nest","3.066667","2.876667","3.056667","0.3333","0.0000","0.3333"
"in-state","3.042000","2.864000","3.042000","0.4000","0.2000","0.6000"
"in-store","3.120000","2.805000","3.100000","1.0000","0.0000","0.5000"
"in-the-river","3.300000","2.900000","3.000000","1.0000","0.0000","0.0000"
"in1864","2.830000","3.000000","3.000000","0.0000","0.0000","0.0000"
"inaccessible","2.600000","3.100000","3.200000","0.0000","1.0000","1.0000"
"inaccuracies","2.800000","2.935000","2.945000","0.0000","0.5000","0.0000"
"inaccurate","2.886667","3.000000","3.073333","0.0000","0.0000","0.6667"
"inactive","3.000000","2.940000","3.000000","0.0000","0.0000","0.0000"
"inadequate","2.890000","2.885000","3.290000","0.0000","0.0000","1.0000"
"inations","3.200000","3.200000","3.200000","1.0000","1.0000","1.0000"
"inaugural","3.516667","3.176667","3.006667","1.0000","0.6667","0.6667"
"inaugurated","3.100000","2.800000","3.100000","1.0000","0.0000","1.0000"
"inauguration","3.233333","2.933333","3.033333","0.6667","0.0000","0.3333"
"inc","3.028621","2.979310","3.072069","0.5172","0.3448","0.5517"
"incapable","3.000000","3.000000","2.900000","0.0000","0.0000","0.0000"
"incarnations","3.083333","3.026667","3.040000","0.3333","0.3333","0.6667"
"incense","3.073333","3.100000","3.083333","0.6667","0.6667","0.3333"
"incensed","3.000000","3.100000","3.100000","0.0000","1.0000","1.0000"
"incentives","2.500000","3.250000","3.120000","0.0000","1.0000","1.0000"
"inception","3.120000","2.880000","3.000000","1.0000","0.0000","0.0000"
"inch","2.820000","2.910000","3.000000","0.0000","0.0000","0.0000"
"inches","2.720000","3.125000","3.025000","0.0000","0.5000","0.5000"
"inchoate","2.800000","2.900000","3.200000","0.0000","0.0000","1.0000"
"incidence","3.000000","2.800000","3.000000","0.0000","0.0000","0.0000"
"incidents","2.180000","3.640000","2.910000","0.0000","1.0000","0.0000"
"incite","2.350000","3.100000","3.150000","0.0000","0.5000","1.0000"
"incited","2.780000","3.220000","3.330000","0.0000","1.0000","1.0000"
"incline","3.000000","3.100000","3.200000","0.0000","1.0000","1.0000"
"include","2.931111","2.975000","3.017222","0.3889","0.2778","0.5000"
"included","3.008947","2.902632","3.044737","0.3684","0.1053","0.4211"
"includes","3.132500","3.012500","3.104375","0.6875","0.3125","0.7500"
"including","3.031200","2.965200","3.046000","0.4600","0.3600","0.4800"
"inclusa","3.000000","2.750000","3.000000","0.0000","0.0000","0.0000"
"inclusion","3.430000","3.430000","3.290000","1.0000","1.0000","1.0000"
"income","2.907857","2.948571","3.020714","0.4286","0.2143","0.5000"
"income-tax","3.000000","3.000000","3.100000","0.0000","0.0000","1.0000"
"incomes","2.800000","3.100000","3.100000","0.0000","1.0000","1.0000"
"incompetence","2.600000","2.950000","2.900000","0.0000","0.0000","0.0000"
"incompetent","2.900000","2.800000","3.100000","0.0000","0.0000","1.0000"
"incomplete","2.776667","2.960000","3.100000","0.0000","0.3333","0.6667"
"inconceivable","3.500000","3.500000","3.500000","1.0000","1.0000","1.0000"
"incongruities","2.763333","3.006667","3.066667","0.0000","0.3333","0.6667"
"inconsequential","2.700000","3.200000","2.900000","0.0000","1.0000","0.0000"
"inconsistencies","2.763333","3.006667","3.066667","0.0000","0.3333","0.6667"
"inconsistent","2.700000","3.100000","3.200000","0.0000","1.0000","1.0000"
"incontestably","3.000000","2.750000","2.750000","0.0000","0.0000","0.0000"
"inconvenience","2.300000","3.100000","2.800000","0.0000","1.0000","0.0000"
"inconvenient","2.500000","2.800000","2.800000","0.0000","0.0000","0.0000"
"incorporate","3.200000","3.200000","3.200000","1.0000","1.0000","1.0000"
"incorporated","3.000000","2.800000","3.100000","0.0000","0.0000","1.0000"
"incorporates","3.000000","3.120000","3.000000","0.0000","1.0000","0.0000"
"incorporeality","2.600000","2.900000","2.900000","0.0000","0.0000","0.0000"
"incorrect","2.833333","2.966667","3.173333","0.0000","0.0000","1.0000"
"incorrectly","2.560000","2.890000","2.670000","0.0000","0.0000","0.0000"
"increase","3.083636","2.915455","3.040909","0.4545","0.3636","0.6364"
"increased","3.114167","3.185000","3.111667","0.7500","0.7500","0.5833"
"increases","2.843333","3.130000","2.990000","0.3333","0.6667","0.6667"
"increasing","3.000000","2.750000","3.050000","0.0000","0.0000","0.5000"
"increasingly","2.670000","3.160000","3.044000","0.2000","0.6000","0.6000"
"incredible","3.050000","3.300000","3.027500","0.2500","0.7500","0.5000"
"incredibly","3.556000","3.332000","3.278000","1.0000","1.0000","0.8000"
"incredulously","3.140000","2.860000","3.000000","1.0000","0.0000","0.0000"
"incubators","3.100000","3.200000","3.100000","1.0000","1.0000","1.0000"
"inculcate","3.000000","2.900000","3.000000","0.0000","0.0000","0.0000"
"indeed","3.021000","2.908000","3.054000","0.4000","0.1000","0.4000"
"indefatigable","3.120000","3.000000","3.120000","1.0000","0.0000","1.0000"
"indentured","3.220000","3.000000","3.000000","1.0000","0.0000","0.0000"
"independence","2.930000","3.120000","2.966667","0.3333","1.0000","0.0000"
"independent","3.005000","3.015000","3.104167","0.5000","0.3333","0.5000"
"independently","3.000000","2.800000","2.900000","0.0000","0.0000","0.0000"
"india","2.612000","3.156000","3.084000","0.0000","0.8000","0.4000"
"india's","3.433333","3.166667","3.200000","1.0000","1.0000","1.0000"
"indian","2.883333","3.005000","2.933333","0.3333","0.5000","0.0000"
"indiana","3.102857","2.870000","3.055714","0.8571","0.2857","0.4286"
"indianapolis","3.186818","3.082273","3.094545","0.7727","0.5000","0.6364"
"indianness","2.900000","2.800000","3.000000","0.0000","0.0000","0.0000"
"indians","3.090000","3.090000","3.095000","0.5000","0.5000","1.0000"
"indicate","3.000000","2.890000","3.040000","0.0000","0.0000","0.4000"
